Potravina;Bílkoviny;Uhlohydráty;Tuky;Energie
;(g/100g);(g/100g);(g/100g);(kcal/100g)
;;;;
vodnice;0,9;4,7;0,3;23,4
vývar z drůbežího masa;0,35;0,34;0,37;6
vývar z masa - průměr;0,23;0,15;0,2;3,3
whisky irská 45%;0;0;0;249,3
whisky skotská 43%;0;0;0;231,1
worchester;1,3;15,8;0,3;72,4
zákusek - indián;3;71;14;428,5
zákusek - kokoska;6,12;62,25;25,4;502,9
zákusek - košíčky linecké s ovocem;2,67;38,83;11,7;263,2
zákusek - kremrole;4,2;45;22;311
zákusek - laskonka;1,67;35,33;16;294,2
zákusek - roláda s krémem;6,4;53,9;17,4;394,7
zákusek - řezy punčové;5,3;48,7;15,7;358,1
zákusek - řezy žloutkové;3,57;38,86;18,9;334,7
zákusek - šáteček s tvarohovou náplní;5,83;63,17;13,5;397,8
zákusek - špička;8,83;62,33;15;421
zákusek - věnečky vaječné;4;33,8;13,4;276,6
závin jablečný;4;55,1;28,2;476,3
závin ořechový;5,4;62,5;14,2;397,8
závin s makovou náplní;8,7;55,6;14,5;393,2
zavináče;11,55;5,67;12,17;178,9
zeleninová směs - Country;3,2;1,3;0,3;57,9
zeleninová směs - Mochovská;4,2;11,2;0,1;63,4
zeleninová směs do polévky;2;6,1;0,1;32,3
zeleninová směs jarní mražená;3,58;9,61;0,33;49,2
zeleninová směs lahůdková;2,8;10,3;0,3;52,4
zeleninová směs pod svíčkovou;1,7;11,3;0,3;66,3
zeleninová směs s kukuřicí;3,9;15,7;0,5;80,1
zeleninová směs se žampiony;2,2;11,5;0,4;58,4
zelí - sterilizované;0,75;4,02;0,2;17,09
zelí bílé;1,46;5,4;0,26;25
zelí bílé sterilizované;1,23;6,07;0,17;21,8
zelí červené;1,39;6,12;0,26;27
zelí čínské (pak-choi);1,5;2,18;0,2;13
zelí čínské (pe-tsai);1,2;3,22;0,2;16
zelí kysané;1;4;0;14,8
zmrzlina polárkový dort - průměr;3,6;20,5;8,9;197,4
žampion polní;4,73;3,44;0,3;29,23
žampiony čerstvé;3,2;4,6;0,6;35,6
žampiony sterilizované;0,8;2,7;0,4;174,6
žampiony sterilizované;2,25;3;0,5;29,4
žemle tmavá;9,18;61,7;3,87;323
žemle tuková;8,3;59,9;2,9;304
