Potravina;Bílkoviny;Uhlohydráty;Tuky;Energie
;(g/100g);(g/100g);(g/100g);(kcal/100g)
;;;;
jogurt Vitalinea bílé pohlazení (Danone);4,6;6,2;0,1;45
jogurt Vitalinea musli (Danone);4,3;8,6;0,4;56,5
jogurtový nápoj Vitalinea;3,3;5,5;0,1;36,1
jovokoktejl;3,8;12;3;90
jovomix;5,5;15,6;3,5;115,6
kabanos;13,53;1,9;27,85;295
kabanos drůbeží;15,6;2,4;25,37;300,5
kadeřávek;4,2;6;0,3;49,8
kakao - Granko;4,7;85,1;3,5;376,8
kakao - prášek;18,93;43,53;21,34;446
kandované ovoce;0,3;69,5;0,3;264,5
kapary;26;47,2;4,28;293
kapr;17,13;0,1;5,96;113,5
kapr syrový;17,83;0;5,6;127
kapusta hlávková;2,53;5,45;0,43;39,5
kapusta kadeřavá;3,2;14;0,9;69,7
kapusta růžičková;4,32;6,28;0,45;50,44
karbanátky;10,73;18,43;9,3;202,15
kari;9,5;26,1;10,8;237,1
kaše banánová - Sunarka;14,9;68,2;10;406,7
kaše jogurt, ovoce - Milupka;14,3;63,8;13,8;439,7
kaše krupicová;5,2;19,7;8,7;176,1
kaše müsli s jablky - Sunarka;13,6;69,1;8,7;413,4
kaše ovesná - Sunarka;14,5;67,1;10,6;425,6
kaše rýžová - Sunarka;7,7;86,1;1,7;396,7
kaše rýžová Nestle;15,5;69,1;9;418,7
kaše rýžová s kukuřicí - Sunarka;16,7;61,1;14,4;443,8
kaštany jedlé pečené;3,2;52,9;2,2;216
kečup;1,75;24,75;0,45;110
kedlubna;1,92;5,36;0,18;29
kefír;3,3;1,7;3,6;52,2
kiwi;1;13,85;0,63;57
klíčky pšeničné;26,58;44,68;10,95;391,5
klikve;0,4;9,7;0,7;38
klobása - Klaso;24;14;8;218
klobása - průměr;17,4;1,9;26,7;310,8
klobása bílá;11,08;7,2;14,02;200
klobása čabajská;22,9;0,3;48,4;523,4
klobása dunajská;21,6;0,1;40,61;452,2
klobása dunajská;21,6;0,1;40,61;452,2
klobása vinná;17,3;4,6;25,45;317,1
Knackebrot;11;78;1,8;382,8
knedlík kynutý (houskový);7,15;48,97;2,61;241,9
knedlíky ovocné z bramborového těsta;3,56;29,4;3,51;153,7
koblihy;6,5;53,5;17;386,4
kokos mletý (strouhaný);7,68;17,25;67,9;693,3
koláč křehký s jablky;2,6;32,42;8,06;205,7
koláč máslový s makovou náplní;7,6;54,6;15,7;393
koláč máslový s tvarohovou náplní;10,21;50,79;9,82;337
koláč tvarohový;12;31;6;220,1
koláčky linecké;4,67;64,33;22;313,4
kompot ananasový;0,37;21,13;0,13;81
kompot borůvkový;0,43;19,4;0,35;83
kompot broskvový;0,46;19,97;0,1;75
kompot brusinkový;0,32;38,9;0,48;168
kompot hroznový;0,39;19;0,15;79
kompot hruškový;0,21;20,29;0,14;78
kompot jablečný;0,2;21,15;0,15;85
kompot jahodový;0,57;21,06;0,17;78
kompot mandarinkový;0,39;16,61;0,13;67
kompot meruňkový;0,47;24,1;0,1;80
kompot švestkový;0,43;20,69;0,1;76,2
kompot třešňový;0,46;18;0,17;67,7
kompot višňový;0,57;20,01;0,23;69,9
koňak (40%);0;2;0;221,3
kopr čerstvý;2,4;7,8;0,2;39
kopr sušený;13;70,5;1;328
korpus piškotový vaječný;11;71,25;9,58;397
králík divoký - dušené maso;28,07;0;3,5;173
králík divoký - syrové maso;21,79;0;2,32;114
králík domácí - grilované maso;29,06;0;8,05;197
králík domácí - syrové maso;20,05;0;5,55;136
králík domácí - vařené, dušené maso;30,38;0;8,41;206
kroupy ječné;9,9;75,3;1,8;357,9
kroupy, krupky;8,2;78,8;1;362,7
krupice pohanková;9,6;73,6;1,6;349,5
krupice pšeničná;10,3;78;1,2;369,8
krůta uzená;18,36;1,66;6,21;141
krůtí drůbky syrové;19,36;2,09;4,2;129
krůtí maso bílé grilované;29,9;0;3,22;157
krůtí maso bílé grilované (mladá slepička);29,89;0;3,74;161
krůtí maso bílé grilované (mladý kohout);29,88;0;2,2;154
krůtí maso bílé syrové;23,56;0;1,56;115
krůtí maso bílé syrové (mladá slepička);23,64;0;1,66;116
krůtí maso bílé syrové (mladý kohout);23,43;0;1,57;114
krůtí maso grilované;29,32;0;4,97;170
krůtí maso syrové;21,77;0;2,86;119
krůtí maso tmavé grilované;28,57;0;7,22;187
krůtí maso tmavé syrové;20,07;0;4,38;125
krůtí prsíčka syrová;22,5;0;1,58;110
krůtí srdce syrové;18,05;0,65;6,99;143
krůtí srdce vařené;26,76;2,05;6,1;177
krůtí tmavé maso grilované (mladá slepička);28,42;0;7,79;192
krůtí tmavé maso grilované (mladý kohout);29,25;0;5,51;175
krůtí tmavé maso syrové (mladá slepička);20,07;0;4,88;130
krůtí tmavé maso syrové (mladý kohout);21,76;0;3,18;122
křen Krenex;1,5;18,1;13,1;192,3
křen syrový;3,9;22,4;0,5;105,3
kukuřice cukrová;3,73;19,77;2,34;104,8
kukuřice sterilizovaná;8,9;44,7;3;244,7
kukuřice syrová;2,9;2;0,4;23
kukuřičné vločky;8,07;81,95;0,97;378,3
kuře dušené (pouze maso);27,29;0;6,71;177
kuře grilované (pouze maso);28,93;0;7,41;190
kuře pečené;13,13;1,67;9,3;142,6
kuře smažené (pouze maso);30,57;1,69;9,12;219
kuře syrové (pouze maso);21,39;0;3,08;119
kuřecí drůbky syrové;17,88;1,8;4,47;124
kuřecí drůbky vařené;25,85;0,95;4,77;157
kuřecí křídlo syrové (pouze maso);21,97;0;3,54;126
kuřecí maso bílé syrové;23,2;0;1,65;114
kuřecí maso tmavé grilované;27,37;0;9,73;205
kuřecí maso tmavé syrové;20,08;0;4,31;125
kuřecí prsíčka syrová (pouze maso);23,09;0;1,24;110
kuřecí prsíčka vařená, dušená (pouze maso);28,98;0;3,03;151
kuřecí půlky bez kůže;17,99;0,1;11,01;171,4
kuřecí půlky s kůží;17,57;0,1;13,14;188,9
kuřecí srdce syrové;15,55;0,71;9,33;153
kuřecí srdce vařené;26,41;0,1;7,92;185
kuřecí stehno syrové (pouze maso);20,59;0;3,42;119
kuřecí stehno vařené, dušené (pouze maso);27,5;0;5,71;169
květák;1,98;5,2;0,21;25
květák;2,46;4,84;0,28;28
květák sterilizovaný;1,3;2,9;0,1;16
květák vařený;2;3,77;0,28;25
kypřící prášek do pečiva;0,2;19,9;0;79,9
kýta skopová;13,43;0,16;12,09;166,5
langusta;17,2;1,3;1,1;84
lečo s moravskou klobásou - konzerva;6,4;8,5;11,5;162,9
ledvina hovězí;15,61;0,52;6,46;117,1
ledvina telecí;16,07;0,72;6,29;129,8
ledvina vepřová;15,31;0,55;4,5;104
ledvina vepřová dušená;28,56;0;9,12;204
ledvina vepřová grilovaná;28,57;0;9,79;210
ledvina vepřová syrová;19,74;0;12,58;198
ledviny - průměr;15,46;0,54;5,48;114,1
liči;0,9;16;0,5;71
likér 18% - průměr;0;24;0;195,2
likér 24% - průměr;0;29,4;0;254,5
likér 30% - průměr;0;35,1;0;307,7
likér vaječný;0;20;0;285,2
lilek;1,14;4,45;0,23;27,8
limetka;0,4;10,6;0;40
lín;17,5;0,1;0,4;78,2
